-2.629169115272235180e-01 -1.595399181491585494e-01 9.515365006924042524e-01
5.307582863838447018e-01 2.115531614210484218e-02 8.472591658010035776e-01
7.079807663991151134e-01 6.535012119176907275e-01 2.677674372119044910e-01
-1.105808684298846371e-02 5.808163176770765324e-01 8.139595345196311005e-01
-7.222042227517272428e-01 5.713580929737654968e-01 3.898345677758143779e-01
-8.863694266706926284e-01 -1.597126845966152231e-01 4.345585091128810196e-01
-7.493666258272105862e-01 -6.395836773545779952e-01 -1.714128926246100970e-01
-3.413173700438273950e-01 -8.072295936081516077e-01 4.815421436484908502e-01
4.216348781084514052e-01 -7.240096677378257128e-01 5.459249312722719294e-01
7.277827590687722115e-01 -6.502650267711966858e-01 -2.179166137780702561e-01
9.716110404924647170e-01 -9.211045235286394184e-02 2.179166137780711998e-01
8.176907802886999033e-01 1.826136830750172413e-01 -5.459249312722713743e-01
3.603269549549519279e-01 7.989253090391549295e-01 -4.815421436484902395e-01
-3.993846985187001625e-02 9.843894243986753834e-01 1.714128926246090423e-01
-4.851035919135166519e-01 7.588368779060447045e-01 -4.345585091128822408e-01
-9.099278738392210242e-01 1.416342973205245992e-01 -3.898345677758140448e-01
-4.336483180233581813e-01 -3.865475552116415803e-01 -8.139595345196315446e-01
1.606021094524555728e-03 -9.634822366111442937e-01 -2.677674372119039914e-01
3.451253144679814477e-01 -4.037826436086200399e-01 -8.472591658010030224e-01
-6.159867256684532083e-02 3.013036531276318541e-01 -9.515365006924043634e-01
